"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
41,"blue-collar","married","professional.course","unknown","no","no","cellular","apr","fri",247,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"0"
60,"blue-collar","married","unknown","unknown","yes","no","cellular","may","mon",26,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"0"
55,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","thu",186,5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"0"
54,"services","single","basic.6y","unknown","no","no","cellular","may","fri",984,1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"0"
31,"admin.","divorced","high.school","no","yes","yes","telephone","jun","tue",287,4,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"0"
30,"technician","married","university.degree","no","no","no","cellular","nov","thu",85,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"0"
59,"retired","married","basic.9y","no","yes","yes","cellular","aug","wed",339,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"0"
56,"technician","married","professional.course","unknown","yes","no","cellular","aug","wed",83,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"0"
30,"admin.","single","university.degree","no","no","no","cellular","jun","thu",124,1,999,0,"nonexistent",-1.7,94.055,-39.8,0.742,4991.6,"0"
44,"technician","married","professional.course","unknown","unknown","unknown","cellular","aug","wed",275,3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"0"
36,"admin.","married","university.degree","no","yes","no","cellular","jul","mon",105,10,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"0"
28,"admin.","single","high.school","no","no","no","telephone","jul","thu",535,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"0"
54,"technician","divorced","professional.course","no","yes","yes","cellular","jul","tue",797,14,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"0"
31,"management","single","basic.9y","no","yes","no","cellular","jul","tue",123,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
34,"blue-collar","married","basic.6y","unknown","yes","yes","cellular","nov","wed",182,2,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"0"
25,"blue-collar","married","basic.6y","unknown","yes","no","cellular","jul","thu",59,3,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"0"
53,"management","divorced","university.degree","no","yes","no","cellular","jun","mon",348,6,999,2,"failure",-1.7,94.055,-39.8,0.754,4991.6,"0"
42,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","fri",148,9,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"0"
48,"blue-collar","married","basic.6y","no","yes","no","cellular","jul","mon",122,5,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"0"
34,"blue-collar","married","basic.4y","no","no","no","cellular","may","thu",273,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"0"
44,"management","married","basic.6y","no","yes","no","cellular","mar","thu",53,3,999,0,"nonexistent",-1.8,92.843,-50,1.757,5099.1,"0"
32,"technician","single","high.school","no","yes","no","telephone","may","wed",202,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
45,"blue-collar","married","basic.4y","no","no","no","cellular","jul","fri",194,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
58,"retired","divorced","professional.course","unknown","yes","no","telephone","jun","fri",169,4,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"0"
35,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",448,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"0"
38,"entrepreneur","married","university.degree","no","yes","no","telephone","jul","wed",83,4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"0"
58,"blue-collar","married","basic.9y","unknown","no","no","cellular","aug","wed",740,4,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"0"
43,"technician","divorced","professional.course","no","yes","no","cellular","jul","thu",87,3,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"0"
37,"management","married","university.degree","no","no","no","telephone","jun","thu",288,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"0"
31,"student","single","university.degree","no","yes","no","cellular","jul","thu",277,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"0"
36,"technician","single","professional.course","no","no","no","telephone","jul","thu",237,7,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"0"
28,"admin.","single","university.degree","no","no","no","telephone","jun","mon",78,5,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"0"
43,"management","married","high.school","no","yes","yes","telephone","jun","fri",304,2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"0"
32,"technician","single","professional.course","unknown","unknown","unknown","cellular","aug","fri",73,4,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"0"
56,"admin.","married","basic.9y","no","no","yes","cellular","may","thu",225,2,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,"0"
49,"services","married","high.school","no","no","no","cellular","jul","thu",63,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
64,"retired","married","university.degree","no","yes","no","cellular","apr","wed",102,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"0"
35,"management","single","high.school","no","yes","no","cellular","nov","tue",52,1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"0"
35,"technician","single","professional.course","no","no","no","telephone","may","thu",19,7,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"0"
35,"admin.","married","university.degree","no","yes","no","telephone","may","fri",698,9,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"0"
31,"technician","single","professional.course","no","yes","no","cellular","jul","tue",350,4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"0"
30,"admin.","single","high.school","no","yes","no","telephone","jul","tue",249,21,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"0"
29,"entrepreneur","married","professional.course","no","no","no","cellular","jul","fri",462,2,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"0"
56,"blue-collar","married","basic.9y","no","no","no","cellular","may","thu",369,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"0"
46,"entrepreneur","married","university.degree","unknown","unknown","unknown","telephone","jun","wed",156,9,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"0"
34,"admin.","married","high.school","no","yes","no","cellular","aug","tue",228,5,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"0"
29,"unemployed","single","university.degree","no","yes","no","cellular","jul","tue",611,1,999,0,"nonexistent",-2.9,92.469,-33.6,1.044,5076.2,"0"
23,"entrepreneur","married","professional.course","no","yes","no","cellular","jul","tue",283,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
38,"management","married","university.degree","no","no","no","telephone","jun","fri",197,3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"0"
32,"blue-collar","married","basic.4y","unknown","yes","no","cellular","jul","thu",307,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"0"
37,"technician","married","university.degree","no","yes","no","cellular","aug","mon",121,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"0"
33,"admin.","married","university.degree","unknown","no","no","cellular","aug","fri",96,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"0"
51,"admin.","divorced","unknown","no","unknown","unknown","telephone","may","fri",152,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
